episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,info/last_target_update_ts,info/num_weight_broadcasts,info/num_target_updates,info/num_samples_added_to_queue,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,counters/last_target_update_ts,counters/num_weight_broadcasts,counters/num_target_updates,counters/num_samples_added_to_queue,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/var_gnorm,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/mean_IS,info/learner/default_policy/learner_stats/var_IS,info/learner/default_policy/learner_stats/grad_gnorm
-149168.0,-149168.0,-149168.0,379.0,1,0,1,2,0,4400,4000,4400,4000,4400,4000,439.9832893996236,399.9848085451123,4400,4000,4400,False,1,1,304dd_00000,2023-12-11_01-47-32,1702288052,10.090845346450806,10.090845346450806,11248,059Latitude3410,127.0.0.1,10.090845346450806,1,4400,4000,4400,4000,422,4400,88,88,4000,-149168.0,-149168.0,-149168.0,379.0,1,0,[-149168.0],[379],0.48448249674510807,1.1982446881141484,0.19321609036018256,0.07356720165633222,0.0,0.0,0.0,0.30274391174316406,0.301,0.202,0.0,4400,4000,4400,4000,422,4400,88,88,4000,44.059999999999995,92.23999999999998,8,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",111.56,0.0,1037.765,1302.126,[-149168.0],[379],0.48448249674510807,1.1982446881141484,0.19321609036018256,0.07356720165633222,0.0,0.0,0.0,0.30274391174316406,500.0,8.0,0.20000000000000018,0.0005000000237487257,22502276.0,8290.702,1.0412478,22.659998,44987972.0,0.0,0.009999999776482582,0.9997937,1.1070993e-05,[97.97959]
-149168.0,-2393079.0,-1271123.5,3557.0,1,0,1,2,0,9400,9000,9400,9000,5000,5000,499.9897839726242,499.9897839726242,9400,5000,9400,False,2,2,304dd_00000,2023-12-11_01-47-43,1702288063,10.147000789642334,20.23784613609314,11248,059Latitude3410,127.0.0.1,20.23784613609314,2,9400,9000,9400,9000,103,9400,187,187,9000,-149168.0,-2393079.0,-1271123.5,3557.0,1,0,"[-149168.0, -2393079.0]","[379, 6735]",0.4750220975872338,1.1902547492625577,0.1872013837950438,0.07203596214785629,0.0,0.0,0.0,0.22263526916503906,0.3,0.2,0.0,9400,9000,9400,9000,103,9400,187,187,9000,38.57142857142857,84.68571428571428,18,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",12.834,0.0,1003.343,9126.627,"[-149168.0, -2393079.0]","[379, 6735]",0.4750220975872338,1.1902547492625577,0.1872013837950438,0.07203596214785629,0.0,0.0,0.0,0.22263526916503906,500.0,18.0,0.1999999999999993,0.0005000000237487257,17930058.0,7186.761,1.0774202,22.760698,35845744.0,-2.3841858e-06,0.009999999776482582,1.0002589,8.034632e-05,[96.73831]
-149168.0,-2393079.0,-1223241.25,3491.75,2,0,1,2,0,14850,14500,14850,14500,5450,5500,544.9908914896265,549.9908079253112,14850,5500,14850,False,4,3,304dd_00000,2023-12-11_01-47-53,1702288073,10.132312774658203,30.370158910751343,11248,059Latitude3410,127.0.0.1,30.370158910751343,3,14850,14500,14850,14500,173,14850,295,295,14500,-149168.0,-2393079.0,-1223241.25,3491.75,2,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0]","[379, 6735, 3467, 3386]",0.45553280762372333,1.1700154691564022,0.1797863770431145,0.06825075052599697,0.0,0.0,0.0,0.16126632690429688,0.2,0.0,0.0,14850,14500,14850,14500,173,14850,295,295,14500,36.11428571428572,85.61428571428571,29,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",11.964,0.0,920.504,9126.627,"[-149168.0, -2393079.0, -1192129.0, -1158589.0]","[379, 6735, 3467, 3386]",0.45553280762372333,1.1700154691564022,0.1797863770431145,0.06825075052599697,0.0,0.0,0.0,0.16126632690429688,500.0,29.0,0.1999999999999993,0.0005000000237487257,15437178.0,6647.7085,1.0274113,22.93614,30861060.0,-5.00679e-06,0.009999999776482582,1.0006003,0.00010595849,[88.91759]
-149168.0,-2393079.0,-1187722.3333333333,3131.0,2,0,1,2,0,20450,20000,20450,20000,5600,5500,559.9734452442506,549.9739194363175,20450,5500,20450,False,6,4,304dd_00000,2023-12-11_01-48-03,1702288083,10.09789752960205,40.468056440353394,11248,059Latitude3410,127.0.0.1,40.468056440353394,4,20450,20000,20450,20000,360,20450,406,406,20000,-149168.0,-2393079.0,-1187722.3333333333,3131.0,2,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0]","[379, 6735, 3467, 3386, 2039, 2780]",0.4443238865083907,1.1548707289000926,0.17478595297678268,0.06578831929091161,0.0,0.0,0.010498364766438803,0.1377582550048828,0.201,0.201,0.0,20450,20000,20450,20000,360,20450,406,406,20000,34.19285714285714,85.53571428571429,40,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",12.23,0.0,887.066,11123.295,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0]","[379, 6735, 3467, 3386, 2039, 2780]",0.4443238865083907,1.1548707289000926,0.17478595297678268,0.06578831929091161,0.0,0.0,0.010498364766438803,0.1377582550048828,500.0,40.0,0.20000000000000284,0.0005000000237487257,52909860.0,11076.946,1.0339955,23.216412,105797570.0,-2.5629997e-05,0.009999999776482582,1.0010916,0.00016235904,[105.830055]
-149168.0,-2393079.0,-1097014.0,2837.0,3,0,1,2,0,25950,25500,25950,25500,5500,5500,549.9823504389836,549.9823504389836,25950,5500,25950,False,9,5,304dd_00000,2023-12-11_01-48-13,1702288093,10.085344076156616,50.55340051651001,11248,059Latitude3410,127.0.0.1,50.55340051651001,5,25950,25500,25950,25500,404,25950,515,515,25500,-149168.0,-2393079.0,-1097014.0,2837.0,3,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908]",0.4345416261173707,1.1411623952468235,0.17012270320066342,0.06380890107041272,0.0,0.0,0.01811981201171875,0.13329188028971353,0.2,0.0,0.0,25950,25500,25950,25500,404,25950,515,515,25500,33.04285714285714,85.58571428571427,51,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",11.7,0.0,896.902,12003.878,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908]",0.4345416261173707,1.1411623952468235,0.17012270320066342,0.06380890107041272,0.0,0.0,0.01811981201171875,0.13329188028971353,500.0,51.0,0.20000000000000284,0.0005000000237487257,16217222.0,6673.023,0.94111687,23.52814,32421098.0,-1.1563301e-05,0.009999999776482582,0.99972343,0.00022800545,[87.28254]
-20206.0,-2393079.0,-773291.25,1914.5625,7,0,1,2,0,31350,31000,31350,31000,5400,5500,539.9966140005712,549.9965512968781,31350,5500,31350,False,16,6,304dd_00000,2023-12-11_01-48-23,1702288103,10.082651853561401,60.63605237007141,11248,059Latitude3410,127.0.0.1,60.63605237007141,6,31350,31000,31350,31000,414,31350,622,622,31000,-20206.0,-2393079.0,-773291.25,1914.5625,7,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267]",0.42459450718199265,1.1285277718047924,0.16500986450610022,0.06167718698068227,0.0,0.0,0.010192394256591797,0.15423893928527832,0.238,0.1,0.0,31350,31000,31350,31000,414,31350,622,622,31000,37.42142857142857,85.97857142857144,62,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",12.279,0.0,916.162,12003.878,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267]",0.42459450718199265,1.1285277718047924,0.16500986450610022,0.06167718698068227,0.0,0.0,0.010192394256591797,0.15423893928527832,500.0,62.0,0.20000000000000284,0.0005000000237487257,25880226.0,8152.578,0.96125746,23.824587,51744148.0,-1.4066696e-05,0.009999999776482582,1.0008678,0.0003549343,[92.42386]
-20206.0,-2393079.0,-775991.2777777778,1960.7222222222222,2,0,1,1,0,36800,36500,36800,36500,5450,5500,544.7866212221757,549.7846636187094,36800,5500,36800,False,18,7,304dd_00000,2023-12-11_01-48-33,1702288113,10.082102537155151,70.71815490722656,11248,059Latitude3410,127.0.0.1,70.71815490722656,7,36800,36500,36800,36500,0,36800,730,730,36500,-20206.0,-2393079.0,-775991.2777777778,1960.7222222222222,2,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679]",0.42282946869831506,1.126369053233387,0.1643839404119601,0.06126726262449002,0.0,0.0,0.009059906005859375,0.14904605017768013,1.433,0.191,0.816,36800,36500,36800,36500,0,36800,730,730,36500,35.22666666666666,85.98666666666666,73,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",12.054,0.0,922.398,12590.501,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679]",0.42282946869831506,1.126369053233387,0.1643839404119601,0.06126726262449002,0.0,0.0,0.009059906005859375,0.14904605017768013,500.0,73.0,0.20000000000000284,0.0005000000237487257,16678547.0,7043.963,0.9507079,24.091463,33343006.0,0.0,0.009999999776482582,1.0013509,0.0002901419,[80.00042]
-20206.0,-2393079.0,-752315.0,1892.4761904761904,3,0,1,2,0,42250,42000,42250,42000,5450,5500,544.9696351519262,549.9693565753385,42250,5500,42250,False,21,8,304dd_00000,2023-12-11_01-48-43,1702288123,10.172062873840332,80.8902177810669,11248,059Latitude3410,127.0.0.1,80.8902177810669,8,42250,42000,42250,42000,17,42250,839,839,42000,-20206.0,-2393079.0,-752315.0,1892.4761904761904,3,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0, -600396.0, -928011.0, -302365.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679, 1628, 2084, 737]",0.4204742778623353,1.1234869090584734,0.16350911459992248,0.060784119731801256,0.0,0.0020220166160946802,0.011608714149111793,0.13958045414515904,0.267,0.067,0.1,42250,42000,42250,42000,17,42250,839,839,42000,35.828571428571436,85.94285714285716,84,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",11.23,0.0,914.806,12982.286,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0, -600396.0, -928011.0, -302365.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679, 1628, 2084, 737]",0.4204742778623353,1.1234869090584734,0.16350911459992248,0.060784119731801256,0.0,0.0020220166160946802,0.011608714149111793,0.13958045414515904,500.0,84.0,0.20000000000000284,0.0005000000237487257,23874940.0,7663.095,0.94063026,24.440336,47734550.0,-9.417534e-06,0.009999999776482582,1.001026,0.00029787575,[99.820656]
-20206.0,-2393079.0,-792070.3913043478,2014.8695652173913,2,0,1,2,0,47450,47000,47450,47000,5200,5000,519.9844660631185,499.9850635222293,47450,5000,47450,False,23,9,304dd_00000,2023-12-11_01-48-54,1702288134,10.15183973312378,91.04205751419067,11248,059Latitude3410,127.0.0.1,91.04205751419067,9,47450,47000,47450,47000,34,47450,942,942,47000,-20206.0,-2393079.0,-792070.3913043478,2014.8695652173913,2,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0, -600396.0, -928011.0, -302365.0, -1984260.0, -434744.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679, 1628, 2084, 737, 5372, 1228]",0.4194175339131441,1.1222651750701822,0.1631609148241016,0.06054357308367561,0.0,0.00184618908426036,0.010599260744841202,0.1372534295786982,0.2,0.0,0.2,47450,47000,47450,47000,34,47450,942,942,47000,34.635714285714286,86.20000000000002,94,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",11.714,0.0,971.578,12982.286,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0, -600396.0, -928011.0, -302365.0, -1984260.0, -434744.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679, 1628, 2084, 737, 5372, 1228]",0.4194175339131441,1.1222651750701822,0.1631609148241016,0.06054357308367561,0.0,0.00184618908426036,0.010599260744841202,0.1372534295786982,500.0,94.0,0.20000000000000284,0.0005000000237487257,18569230.0,7394.601,0.92520344,24.737831,37123670.0,0.0,0.009999999776482582,1.0003113,0.00032329265,[80.000046]
-20206.0,-2393079.0,-782310.6538461539,1996.1153846153845,3,0,1,2,0,53100,53000,53100,53000,5650,6000,564.9925238883314,599.9920607663697,53100,6000,53100,False,26,10,304dd_00000,2023-12-11_01-49-04,1702288144,10.120861768722534,101.16291928291321,11248,059Latitude3410,127.0.0.1,101.16291928291321,10,53100,53000,53100,53000,181,53100,1054,1054,53000,-20206.0,-2393079.0,-782310.6538461539,1996.1153846153845,3,0,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0, -600396.0, -928011.0, -302365.0, -1984260.0, -434744.0, -1035458.0, -976292.0, -110708.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679, 1628, 2084, 737, 5372, 1228, 3048, 2220, 289]",0.41796130638524026,1.119890216984433,0.16261677275961825,0.060166875590408335,0.0,0.0030260819655198315,0.009376269120436449,0.13895676686213568,0.174,0.073,0.0,53100,53000,53100,53000,181,53100,1054,1054,53000,34.207142857142856,85.72142857142856,106,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",11.204,0.142,887.787,13329.589,"[-149168.0, -2393079.0, -1192129.0, -1158589.0, -809440.0, -1423929.0, -1313968.0, -809484.0, -623340.0, -216799.0, -20206.0, -45282.0, -164936.0, -108612.0, -1811735.0, -131964.0, -1364767.0, -230416.0, -600396.0, -928011.0, -302365.0, -1984260.0, -434744.0, -1035458.0, -976292.0, -110708.0]","[379, 6735, 3467, 3386, 2039, 2780, 2455, 2384, 1908, 682, 42, 100, 254, 193, 3562, 267, 3981, 679, 1628, 2084, 737, 5372, 1228, 3048, 2220, 289]",0.41796130638524026,1.119890216984433,0.16261677275961825,0.060166875590408335,0.0,0.0030260819655198315,0.009376269120436449,0.13895676686213568,500.0,106.0,0.20000000000000284,0.0005000000237487257,26026396.0,8861.686,0.9705688,25.069231,52035068.0,-4.4703484e-05,0.009999999776482582,1.0009608,0.00028566213,[104.060135]
